complaint_id,category,priority,reason,flag
GH-202401,Flooding,Urgent,Classified as Flooding because description mentions 'flooded'. Priority set to Urgent due to keyword 'ambulance'.,
GH-202402,Flooding,Standard,Classified as Flooding because description mentions 'flooded'. Priority set to Standard as no immediate hazards were identified.,
GH-202406,Drain Blockage,Standard,Classified as Drain Blockage because description mentions 'drain'. Priority set to Standard as no immediate hazards were identified.,
GH-202407,Drain Blockage,Standard,Classified as Drain Blockage because description mentions 'drain'. Priority set to Standard as no immediate hazards were identified.,
GH-202410,Pothole,Standard,Classified as Pothole because description mentions 'potholes'. Priority set to Standard as no immediate hazards were identified.,
GH-202411,Pothole,Urgent,Classified as Pothole because description mentions 'pothole'. Priority set to Urgent due to keyword 'hospitalised'.,
GH-202412,Pothole,Urgent,Classified as Pothole because description mentions 'potholes'. Priority set to Urgent due to keyword 'school'.,
GH-202417,Waste,Standard,Classified as Waste because description mentions 'garbage'. Priority set to Standard as no immediate hazards were identified.,
GH-202420,Noise,Standard,Classified as Noise because description mentions 'drilling'. Priority set to Standard as no immediate hazards were identified.,
GH-202422,Road Damage,Urgent,Classified as Road Damage because description mentions 'road collapsed'. Priority set to Urgent due to keyword 'collapse'.,
GH-202424,Flooding,Standard,Classified as Flooding because description mentions 'floods'. Priority set to Standard as no immediate hazards were identified.,
GH-202428,Waste,Standard,Classified as Waste because description mentions 'waste'. Priority set to Standard as no immediate hazards were identified.,
GH-202432,Noise,Standard,Classified as Noise because description mentions 'idling'. Priority set to Standard as no immediate hazards were identified.,
GH-202448,Drain Blockage,Urgent,Classified as Drain Blockage because description mentions 'drain'. Priority set to Urgent due to keyword 'flooding'.,
GH-202438,Flooding,Standard,Classified as Flooding because description mentions 'rainwater'. Priority set to Standard as no immediate hazards were identified.,
