complaint_id,category,priority,reason,flag
KM-202401,Heritage Damage,Standard,Classified as Heritage Damage because description mentions 'heritage'. Priority set to Standard as no immediate hazards were identified.,
KM-202402,Road Damage,Standard,Classified as Road Damage because description mentions 'cobblestones'. Priority set to Standard as no immediate hazards were identified.,
KM-202405,Noise,Standard,Classified as Noise because description mentions 'playing'. Priority set to Standard as no immediate hazards were identified.,
KM-202409,Pothole,Standard,Classified as Pothole because description mentions 'potholes'. Priority set to Standard as no immediate hazards were identified.,
KM-202410,Pothole,Standard,Classified as Pothole because description mentions 'pothole'. Priority set to Standard as no immediate hazards were identified.,
KM-202411,Pothole,Urgent,Classified as Pothole because description mentions 'pothole'. Priority set to Urgent due to keyword 'hazard'.,
KM-202415,Other,Standard,Category could not be determined from the description.,NEEDS_REVIEW
KM-202418,Waste,Standard,Classified as Waste because description mentions 'waste'. Priority set to Standard as no immediate hazards were identified.,
KM-202421,Road Damage,Urgent,Classified as Road Damage because description mentions 'footpath'. Priority set to Urgent due to keyword 'fell'.,
KM-202422,Road Damage,Urgent,Classified as Road Damage because description mentions 'road surface'. Priority set to Urgent due to keyword 'hazard'.,
KM-202426,Heritage Damage,Standard,Classified as Heritage Damage because description mentions 'heritage'. Priority set to Standard as no immediate hazards were identified.,
KM-202430,Road Damage,Urgent,Classified as Road Damage because description mentions 'subsided'. Priority set to Urgent due to keyword 'hazard'.,
KM-202434,Heritage Damage,Standard,Classified as Heritage Damage because description mentions 'heritage'. Priority set to Standard as no immediate hazards were identified.,
KM-202436,Streetlight,Standard,Classified as Streetlight because description mentions 'darkness'. Priority set to Standard as no immediate hazards were identified.,
KM-202438,Noise,Standard,Classified as Noise because description mentions 'amplifiers'. Priority set to Standard as no immediate hazards were identified.,
